"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
Amount.............................................................................,"236,594,754","14,194,593","14,507,984","44,112,062","58,642,108","35,775,493","40,295,176"
Contributions:  Number........................................................,"31,596,952","2,082,033","2,783,555","7,685,220","8,989,517","4,679,160","4,024,755"
Amount.............................................................................,"85,245,532","2,569,056","3,859,529","11,608,847","16,329,224","10,904,688","13,997,243"
Taxable income:  Number........................................................,"96,766,112","31,161,489","17,467,548","21,832,162","14,438,089","5,801,371","4,563,987"
Amount.................................................................................,"3,081,262,307","146,302,725","239,652,581","553,279,510","616,248,377","364,432,574","463,700,854"
Total tax credits [8]:Number..................................................,"8,322,887","1,172,250","1,137,531","1,932,334","1,836,874","881,668","860,378"
Amount.................................................................................,"7,594,395","338,506","511,569","895,011","922,726","525,458","950,177"
Child care credit:  Number...................................................,"5,696,793","723,606","954,090","1,558,196","1,425,001","595,585","371,774"
Amount.............................................................................,"2,475,289","270,755","436,526","657,697","630,692","272,607","171,189"
Earned income credit [9]:Number.........................................,"19,404,581","16,181,261","3,223,320",--,--,--,--
Amount.................................................................................,"28,318,296","25,955,487","2,362,809",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"15,214,610","14,233,667","980,943",--,--,--,--
Amount.............................................................................,"22,672,280","22,003,281","668,999",--,--,--,--
Income tax [11]:Number........................................................,"96,250,777","30,739,435","17,398,676","21,809,291","14,435,263","5,801,453","4,564,648"
Amount.................................................................................,"661,957,933","21,937,372","35,538,426","88,034,505","106,333,639","73,226,075","109,007,331"
Total tax liability [12]:Number................................................,"99,799,777","34,122,220","17,517,814","21,845,500","14,442,472","5,803,327","4,565,999"
Amount.................................................................................,"693,528,518","27,463,908","38,484,239","93,406,988","111,584,774","76,430,749","114,079,900"
Tax due at time of filing [13]:Number....................................,"30,215,362","9,097,254","4,172,674","6,429,911","4,942,174","2,536,309","2,201,503"
Amount.................................................................................,"84,555,476","4,616,136","3,812,976","8,448,185","9,907,601","7,667,037","13,690,409"
Overpayments [14]:Number..................................................,"83,992,491","41,559,948","13,162,159","14,890,036","9,026,081","3,003,169","1,979,605"
Amount.................................................................................,"112,409,192","43,877,726","13,109,830","19,286,412","16,415,569","7,137,336","7,502,595"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
ALABAMA,,,,,,,
Number of returns....................................................................,"1,843,993","936,975","269,602","312,048","192,973","69,480","46,987"
Number of joint returns.........................................................,"773,830","167,131","112,286","206,894","166,653","63,926","42,779"
Number with paid preparer's signature................................,"943,197","427,958","137,055","177,013","113,940","41,110","31,857"
Number of exemptions [3]........................................................,"3,825,664","1,526,309","583,469","776,038","548,490","205,425","138,084"
Adjusted gross income (AGI) [4]..............................................,"58,948,033","8,697,943","6,621,208","12,155,912","11,698,160","5,927,081","6,115,532"
Salaries and wages in AGI:  Number...................................,"1,613,411","791,712","240,278","285,134","177,843","63,689","41,413"
Amount.............................................................................,"44,967,720","7,392,646","5,537,718","10,252,591","9,713,068","4,713,431","4,118,520"
Taxable interest:  Number....................................................,"826,120","246,878","112,762","189,494","154,617","62,479","44,291"
Amount.............................................................................,"1,939,273","375,570","194,218","300,219","286,520","166,505","228,254"
Tax-exempt interest [5]:Number........................................,"43,312","6,227","3,411","7,263","8,275","5,331","7,150"
Amount.............................................................................,"444,731","27,240","17,041","44,957","59,747","42,068","79,227"
Dividends:  Number..............................................................,"288,302","65,762","29,232","56,669","60,915","32,875","29,841"
Amount.............................................................................,"976,723","90,570","50,026","101,629","128,125","95,291","172,511"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"239,171","95,152","32,644","48,007","33,067","13,461","11,912"
Amount.............................................................................,"2,031,534","309,031","161,577","274,074","264,690","185,636","408,224"
Number of farm returns........................................................,"53,104","16,569","7,207","12,267","9,461","3,463","2,679"
Net capital gain (less loss) in AGI:  Number........................,"219,982","50,087","21,755","41,302","43,414","24,544","26,036"
Amount.............................................................................,"2,423,844","98,690","50,388","112,288","166,480","152,067","339,384"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"68,074","21,196","11,055","14,780","11,369","4,845","3,764"
Amount.............................................................................,"481,905","77,126","53,722","90,843","95,654","55,402","71,013"
Pensions and annuities in AGI:  Number.............................,"284,310","100,784","46,998","60,449","43,517","17,235","12,058"
Amount.............................................................................,"3,562,862","724,623","544,754","826,934","732,113","352,380","296,631"
Social Security benefits in AGI:  Number.............................,"93,651","2,311","16,760","35,027","22,496","8,270","6,576"
Amount.............................................................................,"725,768","7,762","117,611","164,823","218,631","100,208","84,764"
Total statutory adjustments:  Number..................................,"248,330","90,385","35,214","51,611","32,581","14,429","15,638"
Amount.............................................................................,"472,315","72,153","47,834","80,692","67,462","42,218","82,809"
Self-employment retirement plans [6]:  Number...............,"8,782",322,370,"1,029","1,538","1,263","2,474"
Amount.........................................................................,"78,014",716,916,"3,178","6,482","7,456","27,553"
Total itemized deductions [7]:Number...................................,"443,569","41,225","49,728","116,048","122,879","56,765","42,018"
Amount.................................................................................,"6,042,782","453,424","467,775","1,208,377","1,469,884","841,317","846,638"
Medical and dental expense:  Number.................................,"106,924","29,652","24,928","33,601","14,337","3,084","1,203"
Amount.............................................................................,"418,175","143,149","87,793","105,610","50,539","16,157","11,832"
Taxes paid:  Number............................................................,"443,486","39,567","49,843","116,746","123,374","56,909","42,116"
Amount.............................................................................,"1,462,841","95,028","61,844","212,669","337,724","217,368","245,027"
Interest paid:  Number..........................................................,"379,354","26,992","38,763","100,484","112,447","51,814","36,769"
Amount.............................................................................,"2,376,955","125,351","168,126","500,489","637,104","354,116","341,253"
Contributions:  Number........................................................,"408,417","32,419","43,958","106,148","116,225","54,601","40,557"
Amount.............................................................................,"1,397,902","54,551","85,276","233,922","316,378","191,956","208,269"
Taxable income:  Number........................................................,"1,395,629","493,179","266,108","311,211","192,821","69,448","46,952"
Amount.................................................................................,"38,122,716","2,223,166","3,435,930","7,772,757","8,375,696","4,479,628","4,891,196"
Total tax credits [8]:Number..................................................,"123,961","24,125","20,291","31,493","25,832","10,051","7,704"
Amount.................................................................................,"64,676","7,857","9,057","13,031","11,297","4,778","5,190"
Child care credit:  Number...................................................,"100,288","18,852","18,685","28,178","22,420","7,618","3,866"
Amount.............................................................................,"40,878","6,984","8,365","10,958","9,307","3,239","1,680"
Earned income credit [9]:Number.........................................,"455,700","390,306","65,394",--,--,--,--
Amount.................................................................................,"746,148","697,678","48,470",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"377,744","357,866","19,878",--,--,--,--
Amount.............................................................................,"624,067","610,779","13,288",--,--,--,--
Income tax [11]:Number........................................................,"1,384,531","483,186","265,137","311,080","192,818","69,442","46,955"
Amount.................................................................................,"7,770,723","328,869","507,541","1,206,555","1,421,951","902,003","1,155,655"
Total tax liability [12]:Number................................................,"1,443,250","540,360","266,334","311,339","192,875","69,459","46,964"
Amount.................................................................................,"8,148,604","408,249","546,130","1,272,475","1,482,187","936,918","1,211,043"
Tax due at time of filing [13]:Number....................................,"390,435","113,811","56,375","85,791","66,186","33,335","25,366"
Amount.................................................................................,"942,938","56,143","49,449","104,246","124,324","98,433","167,187"
Overpayments [14]:Number..................................................,"1,381,742","777,780","208,110","219,721","121,619","33,424","17,702"
Amount.................................................................................,"1,961,030","1,057,709","243,642","274,572","205,793","71,145","61,953"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
ALASKA,,,,,,,
Number of returns....................................................................,"349,245","181,110","37,065","52,693","41,149","20,070","14,487"
Number of joint returns.........................................................,"113,378","13,614","11,797","24,904","30,153","17,588","12,996"
Number with paid preparer's signature................................,"124,542","50,681","12,185","20,661","19,599","10,354","8,783"
Number of exemptions [3]........................................................,"557,716","135,353","74,395","121,262","114,795","60,468","43,700"
Adjusted gross income (AGI) [4]..............................................,"11,152,097","973,235","917,954","2,074,286","2,519,578","1,721,576","1,844,456"
Salaries and wages in AGI:  Number...................................,"242,808","89,860","33,035","47,895","37,854","18,788","13,207"
Amount.............................................................................,"8,246,748","728,705","728,083","1,670,933","2,013,823","1,378,110","1,315,540"
Taxable interest:  Number....................................................,"177,784","61,200","17,654","33,105","32,104","17,608","13,505"
Amount.............................................................................,"282,692","33,016","16,514","37,228","48,253","34,648","51,684"
Tax-exempt interest [5]:Number........................................,"8,405","1,363",531,,"12,311,647","1,208","1,692"
Amount.............................................................................,"54,284","3,027","1,862",,"56,867,551","5,827","12,695"
Dividends:  Number..............................................................,"82,428","28,668","7,098","13,579","13,789","8,641","8,537"
Amount.............................................................................,"186,029","25,879","10,395","21,535","26,237","19,656","33,706"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"55,875","17,070","6,626","11,135","10,478","5,236","4,268"
Amount.............................................................................,"562,883","25,143","41,849","77,277","93,731","66,303","136,370"
Number of farm returns........................................................,"1,340",272,119,216,274,184,219
Net capital gain (less loss) in AGI:  Number........................,"56,759","15,715","4,016","9,008","10,880","7,329","7,708"
Amount.............................................................................,"395,047","20,821","7,770","22,218","36,398","37,288","86,372"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"7,623","1,238",913,"1,720","1,827","1,001",783
Amount.............................................................................,"73,947","5,017","5,072","11,485","16,750","12,646","17,655"
Pensions and annuities in AGI:  Number.............................,"37,820","7,027","4,560","8,408","8,699","4,810","3,743"
Amount.............................................................................,"608,046","46,928","51,942","126,810","161,676","103,850","97,849"
Social Security benefits in AGI:  Number.............................,"12,382",357,"1,650","3,994","3,448","1,504","1,121"
Amount.............................................................................,"86,570","1,206","2,888","19,641","31,255","14,929","12,538"
Total statutory adjustments:  Number..................................,"53,404","15,393","7,219","11,460","9,190","4,475","4,230"
Amount.............................................................................,"122,465","14,083","11,153","21,005","21,473","14,352","25,175"
Self-employment retirement plans [6]:  Number...............,"3,747",168,190,481,859,661,999
Amount.........................................................................,"27,861",361,461,"1,711","3,751","3,922","10,688"
Total itemized deductions [7]:Number...................................,"71,979","4,242","4,605","15,151","21,067","13,899","11,216"
Amount.................................................................................,"956,358","46,068","46,350","161,327","258,731","197,187","191,269"
Medical and dental expense:  Number.................................,"8,863","2,177","1,376","2,468","1,836",686,302
Amount.............................................................................,"40,654","11,206","6,161","9,834","7,490","3,298","2,157"
Taxes paid:  Number............................................................,"68,678","3,502","4,197","14,249","20,297","13,589","11,063"
Amount.............................................................................,"158,694","6,113","6,716","25,247","42,221","32,871","34,180"
Interest paid:  Number..........................................................,"66,372","3,214","3,970","13,777","19,822","13,271","10,678"
Amount.............................................................................,"541,765","20,047","23,751","91,251","151,938","115,705","109,887"
Contributions:  Number........................................................,"60,131","2,416","3,343","11,932","17,829","12,458","10,440"
Amount.............................................................................,"157,012","3,388","5,497","21,106","37,655","30,397","35,717"
Taxable income:  Number........................................................,"312,286","145,024","36,406","52,539","41,106","20,059","14,481"
Amount.................................................................................,"8,035,721","386,591","519,848","1,400,336","1,847,427","1,331,659","1,520,868"
Total tax credits [8]:Number..................................................,"20,152","2,431","2,168","4,345","4,726","3,013","2,551"
Amount.................................................................................,"17,099",414,767,"1,795","2,004","1,490","1,658"
Child care credit:  Number...................................................,"14,039","1,100","1,916","3,628","3,712","2,204","1,299"
Amount.............................................................................,"6,054",318,710,"1,552","1,688","1,058",631
Earned income credit [9]:Number.........................................,"29,163","23,616","5,547",--,--,--,--
Amount.................................................................................,"35,172","31,212","3,960",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"21,122","19,647","1,475",--,--,--,--
Amount.............................................................................,"25,448","24,522",926,--,--,--,--
Income tax [11]:Number........................................................,"314,926","147,590","36,480","52,537","41,109","20,059","14,480"
Amount.................................................................................,"1,651,046","59,012","77,782","229,625","330,627","273,064","359,545"
Total tax liability [12]:Number................................................,"319,966","152,382","36,662","52,589","41,116","20,064","14,482"
Amount.................................................................................,"1,749,086","71,197","86,734","246,750","350,321","285,430","377,967"
Tax due at time of filing [13]:Number....................................,"160,091","96,655","10,504","17,971","16,176","9,538","7,789"
Amount.................................................................................,"222,949","20,338","12,238","28,375","36,794","29,598","47,430"
Overpayments [14]:Number..................................................,"172,140","73,854","25,595","33,283","23,581","9,691","5,575"
Amount.................................................................................,"226,932","64,327","24,587","44,196","45,500","22,323","18,701"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
ARIZONA,,,,,,,
Number of returns....................................................................,"1,909,634","883,178","297,234","342,856","217,142","84,042","64,867"
Number of joint returns.........................................................,"803,722","169,698","112,402","197,677","175,802","73,742","56,872"
Number with paid preparer's signature................................,"794,278","305,014","112,835","155,775","112,142","47,571","43,422"
Number of exemptions [3]........................................................,"3,954,662","1,409,164","622,153","827,079","607,468","242,751","186,859"
Adjusted gross income (AGI) [4]..............................................,"68,177,965","7,893,382","7,314,892","13,353,621","13,184,888","7,180,310","8,494,673"
Salaries and wages in AGI:  Number...................................,"1,604,951","714,536","255,209","298,935","190,752","73,766","55,057"
Amount.............................................................................,"48,908,952","6,908,114","5,847,600","10,579,871","10,194,285","5,380,050","5,649,398"
Taxable interest:  Number....................................................,"965,027","283,404","138,187","214,744","173,275","75,019","60,606"
Amount.............................................................................,"2,503,085","437,398","237,663","375,813","373,730","216,926","324,964"
Tax-exempt interest [5]:Number........................................,"94,581","16,414","9,909","18,698","18,742","10,363","12,764"
Amount.............................................................................,"865,707","75,652","55,260","129,118","145,104","90,341","159,184"
Dividends:  Number..............................................................,"425,956","110,795","49,960","84,577","80,455","42,163","41,777"
Amount.............................................................................,"1,661,324","204,683","118,491","220,435","249,027","159,569","262,991"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"261,724","94,557","34,771","53,578","40,037","17,206","15,983"
Amount.............................................................................,"2,487,741","294,347","211,470","385,274","383,681","269,141","512,549"
Number of farm returns........................................................,"8,795","2,776","1,022",,"17,481,338",648,765
Net capital gain (less loss) in AGI:  Number........................,"368,734","94,155","42,034","71,803","68,090","36,695","39,356"
Amount.............................................................................,"4,051,237","119,577","74,952","185,823","289,092","246,684","541,155"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"102,653","30,718","17,107","22,276","17,726","7,384","5,957"
Amount.............................................................................,"887,467","124,369","91,570","159,169","175,733","110,156","149,500"
Pensions and annuities in AGI:  Number.............................,"334,705","111,076","55,358","72,133","54,267","21,524","16,257"
Amount.............................................................................,"4,510,725","803,760","653,809","1,044,957","977,100","466,010","428,125"
Social Security benefits in AGI:  Number.............................,"137,992","3,813","24,865","49,161","34,015","12,592","10,364"
Amount.............................................................................,"986,704","11,947","46,601","257,133","346,283","149,943","130,990"
Total statutory adjustments:  Number..................................,"286,277","92,797","42,319","62,121","41,106","18,602","20,220"
Amount.............................................................................,"651,218","94,154","67,843","117,172","104,259","66,203","116,173"
Self-employment retirement plans [6]:  Number...............,"14,900",791,888,"2,203","3,112","2,247","3,817"
Amount.........................................................................,"119,048","1,654","2,481","8,175","14,447","14,542","42,792"
Total itemized deductions [7]:Number...................................,"598,287","62,121","66,869","157,727","158,474","73,325","60,292"
Amount.................................................................................,"8,914,915","695,413","659,209","1,713,282","2,094,743","1,223,322","1,383,185"
Medical and dental expense:  Number.................................,"129,030","40,133","26,070","35,944","19,051","5,130","2,461"
Amount.............................................................................,"586,413","221,860","95,063","128,903","82,077","29,352","22,851"
Taxes paid:  Number............................................................,"596,386","60,152","66,654","157,819","158,595","73,356","60,318"
Amount.............................................................................,"2,520,289","89,321","109,224","360,053","532,807","356,712","469,089"
Interest paid:  Number..........................................................,"535,030","48,136","57,347","142,757","147,633","68,106","54,269"
Amount.............................................................................,"4,108,607","284,368","314,371","862,753","1,047,129","578,076","610,819"
Contributions:  Number........................................................,"533,307","44,961","56,324","139,437","146,713","69,606","57,586"
Amount.............................................................................,"1,219,753","51,346","70,397","195,769","258,686","161,783","202,784"
Taxable income:  Number........................................................,"1,517,826","500,523","290,298","341,163","216,800","83,956","64,797"
Amount.................................................................................,"45,399,201","2,440,381","3,858,540","8,460,800","9,178,047","5,271,688","6,616,905"
Total tax credits [8]:Number..................................................,"132,143","18,724","19,382","32,889","29,973","13,278","11,946"
Amount.................................................................................,"88,062","5,447","8,335","15,007","14,898","7,422","9,715"
Child care credit:  Number...................................................,"89,511","11,732","15,294","25,215","22,531","8,684","5,095"
Amount.............................................................................,"37,547","4,245","6,543","10,390","9,858","3,802","2,227"
Earned income credit [9]:Number.........................................,"340,744","282,038","58,706",--,--,--,--
Amount.................................................................................,"512,802","468,350","44,452",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"271,474","251,216","20,258",--,--,--,--
Amount.............................................................................,"419,759","405,328","14,432",--,--,--,--
Income tax [11]:Number........................................................,"1,510,139","494,174","289,233","340,886","216,780","83,951","64,811"
Amount.................................................................................,"9,530,441","364,706","571,495","1,334,652","1,568,878","1,057,410","1,558,910"
Total tax liability [12]:Number................................................,"1,562,421","543,720","291,272","341,409","216,895","83,982","64,834"
Amount.................................................................................,"9,963,802","442,589","614,839","1,413,858","1,645,248","1,103,358","1,625,797"
Tax due at time of filing [13]:Number....................................,"525,951","147,524","79,160","120,168","89,370","43,232","34,668"
Amount.................................................................................,"1,409,278","69,277","65,591","153,143","174,784","133,802","227,551"
Overpayments [14]:Number..................................................,"1,280,435","672,422","209,960","212,026","119,658","36,724","24,802"
Amount.................................................................................,"1,625,990","745,378","199,436","248,139","194,294","82,774","95,216"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
ARKANSAS,,,,,,,
Number of returns....................................................................,"1,066,104","558,007","166,186","183,331","98,053","31,055","21,935"
Number of joint returns.........................................................,"488,033","129,136","81,830","134,653","87,305","28,599","19,810"
Number with paid preparer's signature................................,"590,672","285,829","92,313","108,522","60,303","20,095","16,736"
Number of exemptions [3]........................................................,"2,222,393","928,403","369,121","471,876","278,296","89,932","62,991"
Adjusted gross income (AGI) [4]..............................................,"31,216,296","5,087,613","4,078,123","7,118,386","5,904,763","2,645,460","2,888,877"
Salaries and wages in AGI:  Number...................................,"911,052","460,607","145,504","164,858","88,008","27,344","18,410"
Amount.............................................................................,"23,199,485","4,327,334","3,310,406","5,839,114","4,661,937","1,932,396","1,713,740"
Taxable interest:  Number....................................................,"475,758","160,122","72,288","110,131","77,448","27,731","20,672"
Amount.............................................................................,"1,230,125","274,608","145,126","207,906","177,136","92,992","127,716"
Tax-exempt interest [5]:Number........................................,"27,193","4,522","2,776","5,304","5,169","2,878","3,890"
Amount.............................................................................,"231,478","17,576","13,755","32,296","37,230","22,621","44,900"
Dividends:  Number..............................................................,"181,025","49,047","23,109","39,223","33,681","15,410","14,465"
Amount.............................................................................,"678,578","61,509","35,810","64,369","71,115","46,273","80,923"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"161,683","70,099","24,318","32,302","18,843","6,876","6,508"
Amount.............................................................................,"1,239,005","229,363","133,395","204,179","170,636","108,882","219,293"
Number of farm returns........................................................,"52,036","20,977","8,106","11,408","6,528","2,151","1,963"
Net capital gain (less loss) in AGI:  Number........................,"155,152","43,938","19,986","32,483","27,049","12,697","13,000"
Amount.............................................................................,"1,107,449","74,013","44,094","92,107","120,581","89,178","186,201"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"47,747","16,353","8,565","10,340","7,088","2,688","2,122"
Amount.............................................................................,"345,750","60,523","43,540","68,175","67,930","38,162","43,836"
Pensions and annuities in AGI:  Number.............................,"157,509","60,272","28,498","34,002","21,591","7,118","4,762"
Amount.............................................................................,"1,818,374","412,133","313,977","445,642","354,833","143,460","114,444"
Social Security benefits in AGI:  Number.............................,"59,610","1,541","11,298","23,424","13,774","4,634","3,756"
Amount.............................................................................,"390,872","5,353","18,391","111,066","135,684","54,817","48,304"
Total statutory adjustments:  Number..................................,"168,345","66,443","25,926","34,924","19,548","8,201","9,134"
Amount.............................................................................,"282,083","49,582","32,807","53,855","41,029","26,125","46,938"
Self-employment retirement plans [6]:  Number...............,"4,495",195,258,604,841,664,"1,270"
Amount.........................................................................,"35,522",414,604,"1,983","3,622","4,166","13,495"
Total itemized deductions [7]:Number...................................,"213,145","21,104","22,918","55,826","60,053","25,886","20,138"
Amount.................................................................................,"3,034,035","277,683","215,844","570,913","709,245","388,403","427,212"
Medical and dental expense:  Number.................................,"48,548","14,911","10,271","14,053","6,844","1,662",740
Amount.............................................................................,"251,286","107,879","45,475","52,613","27,661","8,515","6,990"
Taxes paid:  Number............................................................,"212,477","20,058","22,860","56,063","60,212","25,919","20,142"
Amount.............................................................................,"937,798","23,717","33,987","130,779","218,502","138,160","175,791"
Interest paid:  Number..........................................................,"173,475","13,094","16,919","46,888","52,876","22,291","16,020"
Amount.............................................................................,"1,020,817","101,496","69,532","209,339","265,554","134,644","134,996"
Contributions:  Number........................................................,"183,607","14,780","18,173","47,099","53,669","24,077","18,907"
Amount.............................................................................,"661,119","28,004","38,611","106,838","141,436","80,303","94,739"
Taxable income:  Number........................................................,"798,651","293,303","163,990","182,913","97,971","31,032","21,917"
Amount.................................................................................,"19,546,986","1,349,804","2,098,279","4,540,359","4,236,577","1,995,044","2,293,264"
Total tax credits [8]:Number..................................................,"62,854","11,200","10,745","19,032","12,778","4,108","3,284"
Amount.................................................................................,"35,012","3,224","3,956","6,933","5,279","1,915","2,509"
Child care credit:  Number...................................................,"51,342","8,411","9,757","17,466","10,993","2,979","1,462"
Amount.............................................................................,"18,905","2,799","3,699","6,336","4,243","1,142",558
Earned income credit [9]:Number.........................................,"254,655","214,470","40,185",--,--,--,--
Amount.................................................................................,"404,698","374,460","30,237",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
