year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
2006		0.15	0.07	0.0	0.06	0.13	0.01	0.14	0.28	0.0	0.13	0.41	0.04	0.17	0.06	0.44	0.1	0.27	0.5	0.24	0.28	0.62		0.39	0.06	0.02	0.29	0.1	0.27	0.19	0.27	0.1	0.1	0.41	0.15	0.22	0.27	0.18	0.22	0.18	0.16	0.42	0.36
2007		0.16	0.08	0.0	0.06	0.11	0.02	0.13	0.25	0.0	0.12	0.45	0.06	0.15	0.06	0.47	0.09	0.3	0.42	0.25	0.22	0.63		0.42	0.08	0.01	0.31	0.09	0.24	0.19	0.25	0.11	0.11	0.38	0.19	0.26	0.24	0.18	0.27	0.18	0.17	0.45	0.37
2008		0.15	0.09	0.0	0.09	0.14	0.01	0.12	0.26	0.0	0.11	0.4	0.05	0.14	0.06	0.51	0.1	0.29	0.42	0.24	0.23	0.62		0.43	0.09	0.02	0.28	0.12	0.28	0.2	0.26	0.13	0.16	0.4	0.12	0.24	0.25	0.2	0.29	0.19	0.16	0.47	0.38
2009		0.16	0.09	0.0	0.08	0.11	0.03	0.12	0.29	0.0	0.12	0.44	0.05	0.13	0.03	0.46	0.07	0.29	0.4	0.23	0.16	0.59		0.4	0.12	0.01	0.27	0.11	0.24	0.19	0.24	0.13	0.2	0.41	0.16	0.28	0.28	0.21	0.15	0.18	0.17	0.48	0.44
2010		0.16	0.05	0.0	0.07	0.12	0.07	0.16	0.23	0.0	0.1	0.44	0.04	0.11	0.05	0.46	0.08	0.31	0.38	0.24	0.2	0.58		0.41	0.13	0.03	0.27	0.08	0.27	0.19	0.23	0.14	0.22	0.4	0.2	0.28	0.26	0.19	0.07	0.18	0.18	0.44	0.38
2011		0.16	0.07	0.0	0.07	0.14	0.07	0.14	0.21	0.0	0.06	0.4	0.04	0.07	0.05	0.45	0.09	0.23	0.37	0.28	0.17	0.6		0.44	0.18	0.01	0.3	0.11	0.21	0.19	0.25	0.14	0.17	0.38	0.17	0.25	0.26	0.2	0.03	0.18	0.16	0.45	0.34
2012		0.22	0.05	0.0	0.09	0.13	0.08	0.17	0.22	0.0	0.07	0.43	0.05	0.09	0.04	0.51	0.11	0.23	0.36	0.26	0.16	0.57		0.47	0.17	0.02	0.26	0.14	0.19	0.2	0.21	0.15	0.2	0.37	0.15	0.27	0.29	0.19	0.02	0.19	0.15	0.47	0.37
2013		0.21	0.06	0.0	0.12	0.17	0.07	0.17	0.21	0.16	0.07	0.41	0.08	0.08	0.06	0.47	0.1	0.21	0.37	0.28	0.1	0.63		0.49	0.16	0.02	0.23	0.11	0.23	0.21	0.18	0.16	0.18	0.38	0.17	0.28	0.26	0.2	0.0	0.19	0.19	0.47	0.34
2014		0.23	0.06	0.0	0.12	0.18	0.08	0.2	0.28	0.37	0.07	0.46	0.08	0.1	0.05	0.55	0.09	0.23	0.41	0.23	0.11	0.56		0.48	0.21	0.01	0.25	0.13	0.25	0.22	0.22	0.18	0.23	0.42	0.19	0.3	0.31	0.21	0.0	0.2	0.19	0.49	0.34
2015		0.22	0.12	0.0	0.13	0.19	0.1	0.21	0.29	0.41	0.1	0.46	0.06	0.09	0.05	0.52	0.13	0.24	0.43	0.26	0.12	0.54		0.5	0.19	0.02	0.24	0.16	0.28	0.23	0.23	0.17	0.24	0.41	0.22	0.33	0.3	0.2	0.0	0.22	0.2	0.47	0.34
2016		0.23	0.18	0.0	0.12	0.21	0.1	0.2	0.28	0.42	0.08	0.48	0.07	0.11	0.06	0.54	0.1	0.22	0.45	0.25	0.14	0.54		0.46	0.27	0.03	0.26	0.22	0.25	0.24	0.22	0.19	0.23	0.42	0.23	0.28	0.33	0.25	0.0	0.23	0.24	0.51	0.37
